Rank,Team,GM,W-L,OPP FG,OPP FGA,OPP FG%
1,UCF (AAC),30,20-10,656,816,36.1
2,Gonzaga (West Coast),33,32-1,741,14,36.8
3,CSU Bakersfield (Western Athletic),29,21-8,568,523,37.3
4,Illinois St. (Missouri Valley),33,27-6,684,816,37.7
5,Wichita St. (Missouri Valley),34,30-4,713,887,37.8
6,Cincinnati (AAC),31,27-4,647,704,38
7,UC Irvine (Big West),32,19-13,684,795,38.1
8,San Diego St. (Mountain West),31,18-13,670,747,38.4
9,SMU (AAC),31,27-4,656,705,38.5
10,East Carolina (AAC),31,14-17,717,853,38.7
11,Virginia (Atlantic Coast),31,22-9,586,497,39.1
12,UConn (AAC),30,14-16,686,751,39.2
13,California (Pac-12),31,20-11,681,727,39.4
14,Louisville (Atlantic Coast),31,24-7,683,731,39.5
15,Baylor (Big 12),31,25-6,690,747,39.5
16,N.C. Central (Mid-Eastern),31,23-8,726,837,39.5
17,Minnesota (Big Ten),31,23-8,781,972,39.6
18,South Carolina (Southeastern),31,22-9,649,637,39.6
19,Georgia Tech (Atlantic Coast),32,17-15,761,914,39.8
20,Northwestern (Big Ten),31,21-10,697,750,39.8
21,Oregon (Pac-12),31,27-4,733,840,39.8
22,Alabama (Southeastern),30,17-13,654,639,39.9
23,Old Dominion (Conference USA),30,19-11,609,526,39.9
24,Monmouth (Metro Atlantic),33,27-6,821,35,40.3
25,Houston (AAC),30,21-9,654,621,40.3
26,Colorado St. (Mountain West),31,21-10,737,825,40.4
27,Wyoming (Mountain West),32,18-14,808,0,40.4
28,Oakland (Horizon),32,24-8,825,41,40.4
29,Seattle U (Western Athletic),29,13-16,709,754,40.4
30,Texas A&M (Southeastern),30,16-14,716,771,40.4
31,Winthrop (Big South),32,26-6,787,941,40.5
32,Norfolk St. (Mid-Eastern),31,16-15,756,860,40.6
33,Tennessee St. (OVC),30,17-13,637,567,40.7
34,Wisconsin (Big Ten),31,23-8,682,675,40.7
35,Florida (Southeastern),31,24-7,730,792,40.7
36,Rutgers (Big Ten),32,15-17,748,833,40.8
