Rank,Team,GM,W-L,DRebs,RPG
1,BYU (West Coast),33,22-11,27,31.12
2,Gonzaga (West Coast),33,32-1,21,30.94
3,UCF (AAC),30,20-10,919,30.63
4,Wyoming (Mountain West),32,18-14,958,29.94
5,Utah Valley (Western Athletic),29,14-15,865,29.83
6,UCLA (Pac-12),31,28-3,914,29.48
7,George Mason (Atlantic 10),31,19-12,901,29.06
7,Green Bay (Horizon),31,18-13,901,29.06
9,Minnesota (Big Ten),31,23-8,896,28.9
10,Wichita St. (Missouri Valley),34,30-4,982,28.88
11,UC Irvine (Big West),32,19-13,920,28.75
12,Elon (Colonial),32,18-14,918,28.69
13,Oakland (Horizon),32,24-8,917,28.66
14,Utah (Pac-12),30,20-10,848,28.27
15,New Hampshire (America East),32,20-12,903,28.22
16,Purdue (Big Ten),31,25-6,872,28.13
16,Buffalo (Mid-American),31,17-14,872,28.13
18,Rice (Conference USA),32,22-10,899,28.09
19,Army West Point (Patriot),32,13-19,896,28
20,Savannah St. (Mid-Eastern),29,13-16,811,27.97
21,Ill.-Chicago (Horizon),33,15-18,922,27.94
22,Marshall (Conference USA),32,18-14,894,27.94
22,North Carolina (Atlantic Coast),32,26-6,894,27.94
24,Coastal Caro. (Sun Belt),32,16-16,891,27.84
25,California (Pac-12),31,20-11,863,27.84
26,Ohio (Mid-American),29,19-10,806,27.79
27,Kentucky (Southeastern),31,26-5,860,27.74
28,Nevada (Mountain West),31,25-6,859,27.71
29,Western Ill. (Summit League),28,8-20,774,27.64
30,Winthrop (Big South),32,26-6,884,27.63
31,Ball St. (Mid-American),31,20-11,856,27.61
32,Norfolk St. (Mid-Eastern),31,16-15,855,27.58
33,Monmouth (Metro Atlantic),33,27-6,910,27.58
33,Rider (Metro Atlantic),33,18-15,910,27.58
35,Central Mich. (Mid-American),32,16-16,881,27.53
35,Valparaiso (Horizon),32,24-8,881,27.53
37,Louisiana Tech (Conference USA),31,22-9,853,27.52
38,Toledo (Mid-American),32,17-15,880,27.5
39,William & Mary (Colonial),31,17-14,852,27.48
40,Fort Wayne (Summit League),31,19-12,848,27.35
41,Indiana St. (Missouri Valley),31,11-20,847,27.32
42,Utah St. (Mountain West),29,13-16,790,27.24
43,Fairfield (Metro Atlantic),30,16-14,817,27.23
44,South Dakota (Summit League),33,22-11,898,27.21
45,Michigan St. (Big Ten),31,18-13,842,27.16
46,Ohio St. (Big Ten),32,17-15,868,27.13
46,Lehigh (Patriot),32,20-12,868,27.13
48,Georgia (Southeastern),31,18-13,840,27.1
49,Davidson (Atlantic 10),29,15-14,785,27.07
50,UTEP (Conference USA),30,14-16,812,27.07
51,UT Arlington (Sun Belt),31,24-7,835,26.94
51,Creighton (Big East),31,23-8,835,26.94
53,Alabama (Southeastern),30,17-13,808,26.93
54,Kansas (Big 12),31,28-3,834,26.9
54,Colorado St. (Mountain West),31,21-10,834,26.9
56,Gardner-Webb (Big South),33,19-14,887,26.88
57,USC Upstate (ASUN),32,17-15,860,26.88
58,East Carolina (AAC),31,14-17,833,26.87
59,Indiana (Big Ten),31,17-14,832,26.84
59,N.C. Central (Mid-Eastern),31,23-8,832,26.84
61,New Mexico St. (Western Athletic),30,25-5,805,26.83
62,Ole Miss (Southeastern),31,19-12,831,26.81
63,Belmont (OVC),28,22-6,749,26.75
64,Stetson (ASUN),32,11-21,854,26.69
65,Alcorn (Southwestern),30,17-13,800,26.67
66,Cal St. Fullerton (Big West),29,16-13,773,26.66
67,Samford (Southern),34,19-15,906,26.65
68,SMU (AAC),31,27-4,825,26.61
69,Iowa (Big Ten),31,18-13,824,26.58
70,UTSA (Conference USA),32,14-18,849,26.53
71,UConn (AAC),30,14-16,795,26.5
71,Seton Hall (Big East),30,20-10,795,26.5
71,Northern Ky. (Horizon),34,24-10,901,26.5
74,Lipscomb (ASUN),33,20-13,874,26.48
74,Illinois St. (Missouri Valley),33,27-6,874,26.48
76,San Francisco (West Coast),32,20-12,846,26.44
76,Georgia Tech (Atlantic Coast),32,17-15,846,26.44
78,Niagara (Metro Atlantic),33,10-23,872,26.42
79,Iona (Metro Atlantic),34,22-12,898,26.41
79,North Florida (ASUN),34,15-19,898,26.41
81,FGCU (ASUN),33,26-7,871,26.39
82,Seattle U (Western Athletic),29,13-16,765,26.38
82,Northern Colo. (Big Sky),29,11-18,765,26.38
84,UAB (Conference USA),32,17-15,844,26.38
85,Arizona (Pac-12),31,27-4,817,26.35
86,Boise St. (Mountain West),29,19-10,764,26.34
87,Fresno St. (Mountain West),30,19-11,789,26.3
87,North Dakota St. (Summit League),30,19-11,789,26.3
89,Louisville (Atlantic Coast),31,24-7,815,26.29
90,ETSU (Southern),34,27-7,893,26.26
91,Eastern Wash. (Big Sky),31,21-10,814,26.26
92,UNLV (Mountain West),32,11-21,840,26.25
93,Appalachian St. (Sun Belt),30,9-21,787,26.23
94,Vanderbilt (Southeastern),31,17-14,813,26.23
95,Bradley (Missouri Valley),33,13-20,865,26.21
96,Youngstown St. (Horizon),34,13-21,891,26.21
97,Oklahoma (Big 12),31,11-20,812,26.19
98,North Dakota (Big Sky),28,19-9,733,26.18
99,Denver (Summit League),30,16-14,785,26.17
100,Saint Francis (PA) (Northeast),32,16-16,836,26.13
100,Georgetown (Big East),32,14-18,836,26.13
102,Northern Ariz. (Big Sky),32,9-23,835,26.09
103,Yale (Ivy League),27,17-10,704,26.07
104,CSU Bakersfield (Western Athletic),29,21-8,756,26.07
104,Cornell (Ivy League),29,8-21,756,26.07
106,Wake Forest (Atlantic Coast),32,19-13,834,26.06
107,Troy (Sun Belt),33,19-14,860,26.06
107,Towson (Colonial),33,20-13,860,26.06
109,Sacred Heart (Northeast),32,13-19,833,26.03
109,Sam Houston St. (Southland),32,20-12,833,26.03
111,St. Mary's (CA) (West Coast),32,28-4,832,26
111,Idaho (Big Sky),29,17-12,754,26
111,North Carolina St. (Atlantic Coast),32,15-17,832,26
114,South Dakota St. (Summit League),34,18-16,883,25.97
115,San Diego St. (Mountain West),31,18-13,805,25.97
116,Montana St. (Big Sky),32,16-16,830,25.94
116,Massachusetts (Atlantic 10),32,15-17,830,25.94
118,Colorado (Pac-12),32,19-13,829,25.91
119,Oregon (Pac-12),31,27-4,803,25.9
120,Rutgers (Big Ten),32,15-17,828,25.88
120,Duke (Atlantic Coast),32,24-8,828,25.88
122,Southern Miss. (Conference USA),31,9-22,802,25.87
123,Dayton (Atlantic 10),30,24-6,776,25.87
123,Sacramento St. (Big Sky),30,13-17,776,25.87
123,UMBC (America East),30,18-12,776,25.87
126,Southern U. (Southwestern),32,15-17,827,25.84
127,North Texas (Conference USA),30,8-22,775,25.83
128,Bucknell (Patriot),34,26-8,878,25.82
129,Northwestern (Big Ten),31,21-10,800,25.81
130,Boston College (Atlantic Coast),32,9-23,825,25.78
131,Duquesne (Atlantic 10),32,10-22,824,25.75
132,Mississippi St. (Southeastern),31,16-15,798,25.74
133,Radford (Big South),32,14-18,823,25.72
134,Florida St. (Atlantic Coast),31,24-7,797,25.71
135,Harvard (Ivy League),27,18-9,693,25.67
135,Texas A&M (Southeastern),30,16-14,770,25.67
135,New Mexico (Mountain West),30,17-13,770,25.67
138,Tennessee (Southeastern),31,16-15,795,25.65
139,Boston U. (Patriot),32,18-14,820,25.63
139,Furman (Southern),32,21-11,820,25.63
141,Florida (Southeastern),31,24-7,794,25.61
142,Pittsburgh (Atlantic Coast),33,16-17,845,25.61
143,LIU Brooklyn (Northeast),32,20-12,819,25.59
143,Air Force (Mountain West),32,12-20,819,25.59
145,Jacksonville St. (OVC),34,20-14,870,25.59
146,Southern California (Pac-12),31,23-8,793,25.58
147,Murray St. (OVC),33,16-17,844,25.58
148,Xavier (Big East),32,20-12,818,25.56
148,Penn St. (Big Ten),32,15-17,818,25.56
150,George Washington (Atlantic 10),31,18-13,792,25.55
150,Washington St. (Pac-12),31,13-18,792,25.55
152,Southern Utah (Big Sky),32,6-26,817,25.53
153,Col. of Charleston (Colonial),34,25-9,868,25.53
154,Quinnipiac (Metro Atlantic),31,10-21,791,25.52
155,Western Ky. (Conference USA),32,15-17,816,25.5
156,VCU (Atlantic 10),31,24-7,789,25.45
156,Middle Tenn. (Conference USA),31,27-4,789,25.45
156,Missouri (Southeastern),31,8-23,789,25.45
159,CSUN (Big West),29,11-18,738,25.45
160,Arkansas St. (Sun Belt),32,20-12,814,25.44
161,Pacific (West Coast),33,11-22,839,25.42
162,Maryland (Big Ten),31,24-7,788,25.42
163,Central Ark. (Southland),32,8-24,813,25.41
163,Kent St. (Mid-American),32,19-13,813,25.41
165,Iowa St. (Big 12),30,20-10,762,25.4
165,Rhode Island (Atlantic 10),30,21-9,762,25.4
