Rank,Team,GM,W-L,Opp 3FGA,Opp 3FG,Pct
1,Morgan St. (Mid-Eastern),29,14-15,554,159,28.7
2,South Carolina (Southeastern),31,22-9,559,163,29.2
3,N.C. Central (Mid-Eastern),31,23-8,664,194,29.2
4,Rhode Island (Atlantic 10),30,21-9,473,139,29.4
5,New Mexico St. (Western Athletic),30,25-5,581,171,29.4
6,Robert Morris (Northeast),33,14-19,543,162,29.8
7,Gonzaga (West Coast),33,32-1,640,192,30
8,Florida (Southeastern),31,24-7,556,168,30.2
9,St. Mary's (CA) (West Coast),32,28-4,472,143,30.3
10,Duke (Atlantic Coast),32,24-8,526,160,30.4
11,Nevada (Mountain West),31,25-6,666,203,30.5
12,Oregon (Pac-12),31,27-4,687,210,30.6
13,Col. of Charleston (Colonial),34,25-9,714,219,30.7
14,Louisville (Atlantic Coast),31,24-7,619,190,30.7
15,Minnesota (Big Ten),31,23-8,646,199,30.8
16,UCF (AAC),30,20-10,717,221,30.8
17,Wichita St. (Missouri Valley),34,30-4,735,227,30.9
18,FGCU (ASUN),33,26-7,744,230,30.9
19,New Orleans (Southland),29,18-11,598,185,30.9
20,Winthrop (Big South),32,26-6,681,211,31
21,Mississippi St. (Southeastern),31,16-15,616,191,31
22,UC Irvine (Big West),32,19-13,612,190,31
23,Villanova (Big East),31,28-3,707,220,31.1
24,Kentucky (Southeastern),31,26-5,626,195,31.2
25,Alcorn (Southwestern),30,17-13,558,174,31.2
26,Southern U. (Southwestern),32,15-17,641,200,31.2
27,Richmond (Atlantic 10),30,19-11,612,191,31.2
28,Furman (Southern),32,21-11,711,222,31.2
29,Arizona (Pac-12),31,27-4,640,200,31.3
30,Virginia (Atlantic Coast),31,22-9,595,186,31.3
31,Baylor (Big 12),31,25-6,609,191,31.4
32,Wyoming (Mountain West),32,18-14,685,216,31.5
33,Harvard (Ivy League),27,18-9,523,165,31.5
34,Arkansas St. (Sun Belt),32,20-12,618,195,31.6
35,UT Arlington (Sun Belt),31,24-7,810,256,31.6
36,Oakland (Horizon),32,24-8,660,209,31.7
37,Ohio (Mid-American),29,19-10,623,198,31.8
38,Ark.-Pine Bluff (Southwestern),32,7-25,651,207,31.8
39,Lamar University (Southland),32,19-13,550,175,31.8
40,California (Pac-12),31,20-11,556,177,31.8
41,Colorado St. (Mountain West),31,21-10,735,234,31.8
42,Belmont (OVC),28,22-6,527,168,31.9
43,Elon (Colonial),32,18-14,786,251,31.9
44,San Diego St. (Mountain West),31,18-13,635,203,32
45,Middle Tenn. (Conference USA),31,27-4,578,185,32
46,Illinois St. (Missouri Valley),33,27-6,706,226,32
47,Seattle U (Western Athletic),29,13-16,759,243,32
48,SMU (AAC),31,27-4,770,247,32.1
49,Texas (Big 12),32,11-21,656,211,32.2
50,New Hampshire (America East),32,20-12,665,214,32.2
51,Houston (AAC),30,21-9,623,201,32.3
52,BYU (West Coast),33,22-11,815,263,32.3
53,Saint Peter's (Metro Atlantic),32,19-13,694,224,32.3
54,Toledo (Mid-American),32,17-15,601,194,32.3
55,Fresno St. (Mountain West),30,19-11,641,207,32.3
56,Rutgers (Big Ten),32,15-17,690,223,32.3
57,Dayton (Atlantic 10),30,24-6,649,210,32.4
58,CSU Bakersfield (Western Athletic),29,21-8,621,201,32.4
59,Georgetown (Big East),32,14-18,614,199,32.4
60,Northwestern (Big Ten),31,21-10,593,193,32.5
61,George Mason (Atlantic 10),31,19-12,709,231,32.6
62,Purdue (Big Ten),31,25-6,626,204,32.6
63,East Carolina (AAC),31,14-17,629,205,32.6
64,Boise St. (Mountain West),29,19-10,489,160,32.7
65,Fairfield (Metro Atlantic),30,16-14,605,198,32.7
66,Valparaiso (Horizon),32,24-8,713,234,32.8
67,Miami (FL) (Atlantic Coast),31,21-10,594,195,32.8
68,Northern Ky. (Horizon),34,24-10,682,224,32.8
69,SIUE (OVC),30,6-24,535,176,32.9
70,Yale (Ivy League),27,17-10,601,198,32.9
71,Memphis (AAC),31,19-12,703,232,33
72,Army West Point (Patriot),32,13-19,666,220,33
73,Texas St. (Sun Belt),30,18-12,557,184,33
74,Georgia St. (Sun Belt),30,19-11,777,257,33.1
75,Texas Southern (Southwestern),32,21-11,553,183,33.1
76,Providence (Big East),31,20-11,592,196,33.1
