Rank,Team,GM,W-L,Fouls,PFPG,DQ
1,SMU (AAC),31,27-4,447,14.4,5
2,Villanova (Big East),31,28-3,454,14.6,3
3,St. Mary's (CA) (West Coast),32,28-4,472,14.8,7
4,Western Ky. (Conference USA),32,15-17,475,14.8,3
5,Notre Dame (Atlantic Coast),31,23-8,468,15.1,4
6,Clemson (Atlantic Coast),32,17-15,489,15.3,13
7,Michigan (Big Ten),31,20-11,474,15.3,10
8,UCF (AAC),30,20-10,460,15.3,9
9,UNI (Missouri Valley),30,14-16,464,15.5,8
10,Miami (FL) (Atlantic Coast),31,21-10,481,15.5,7
11,Purdue (Big Ten),31,25-6,485,15.6,7
12,Cincinnati (AAC),31,27-4,486,15.7,3
13,Louisiana Tech (Conference USA),31,22-9,487,15.7,5
14,George Washington (Atlantic 10),31,18-13,489,15.8,4
15,New Hampshire (America East),32,20-12,506,15.8,11
16,UAB (Conference USA),32,17-15,508,15.9,8
17,Vermont (America East),33,28-5,524,15.9,8
18,Southern California (Pac-12),31,23-8,494,15.9,11
18,Oregon (Pac-12),31,27-4,494,15.9,7
20,Yale (Ivy League),27,17-10,431,16,6
21,Iowa St. (Big 12),30,20-10,479,16,7
22,Syracuse (Atlantic Coast),32,18-14,514,16.1,2
23,UCLA (Pac-12),31,28-3,499,16.1,9
23,Virginia (Atlantic Coast),31,22-9,499,16.1,9
25,Holy Cross (Patriot),32,15-17,516,16.1,11
26,Wisconsin (Big Ten),31,23-8,500,16.1,5
27,Saint Peter's (Metro Atlantic),32,19-13,517,16.2,5
28,Washington St. (Pac-12),31,13-18,502,16.2,4
29,Princeton (Ivy League),27,21-6,438,16.2,4
30,Creighton (Big East),31,23-8,503,16.2,4
31,Saint Francis (PA) (Northeast),32,16-16,521,16.3,6
32,Virginia Tech (Atlantic Coast),31,22-9,507,16.4,7
33,Georgia Tech (Atlantic Coast),32,17-15,525,16.4,5
34,Gonzaga (West Coast),33,32-1,543,16.5,12
35,Arizona (Pac-12),31,27-4,514,16.6,7
35,East Carolina (AAC),31,14-17,514,16.6,5
37,UNC Asheville (Big South),32,23-9,531,16.6,12
38,Texas A&M (Southeastern),30,16-14,498,16.6,8
39,Elon (Colonial),32,18-14,532,16.6,4
40,Utah (Pac-12),30,20-10,500,16.7,11
41,South Dakota St. (Summit League),34,18-16,567,16.7,11
41,Youngstown St. (Horizon),34,13-21,567,16.7,15
43,Pittsburgh (Atlantic Coast),33,16-17,551,16.7,8
44,North Dakota St. (Summit League),30,19-11,501,16.7,6
45,Memphis (AAC),31,19-12,519,16.7,6
46,George Mason (Atlantic 10),31,19-12,520,16.8,7
47,USC Upstate (ASUN),32,17-15,537,16.8,14
48,Nevada (Mountain West),31,25-6,522,16.8,9
48,Northeastern (Colonial),31,15-16,522,16.8,8
50,Lehigh (Patriot),32,20-12,539,16.8,12
50,UNLV (Mountain West),32,11-21,539,16.8,10
52,Minnesota (Big Ten),31,23-8,523,16.9,15
53,Providence (Big East),31,20-11,524,16.9,7
54,Arizona St. (Pac-12),32,15-17,542,16.9,15
55,Vanderbilt (Southeastern),31,17-14,526,17,10
56,Southern Miss. (Conference USA),31,9-22,527,17,18
56,UConn (AAC),30,14-16,510,17,14
58,Binghamton (America East),32,12-20,545,17,7
58,Hofstra (Colonial),32,15-17,545,17,11
58,Loyola Chicago (Missouri Valley),32,18-14,545,17,10
61,Mercer (Southern),32,15-17,547,17.1,9
62,Col. of Charleston (Colonial),34,25-9,582,17.1,7
63,Pepperdine (West Coast),31,9-22,531,17.1,11
64,Toledo (Mid-American),32,17-15,549,17.2,17
65,Lafayette (Patriot),30,9-21,515,17.2,6
66,Radford (Big South),32,14-18,550,17.2,6
67,Presbyterian (Big South),30,5-25,519,17.3,8
68,San Diego St. (Mountain West),31,18-13,538,17.4,13
69,TCU (Big 12),32,18-14,557,17.4,5
69,Texas Southern (Southwestern),32,21-11,557,17.4,18
69,Oakland (Horizon),32,24-8,557,17.4,16
72,High Point (Big South),31,15-16,540,17.4,9
73,Colorado St. (Mountain West),31,21-10,541,17.5,10
74,La.-Monroe (Sun Belt),32,9-23,559,17.5,13
75,Texas Tech (Big 12),32,18-14,561,17.5,11
76,Weber St. (Big Sky),29,17-12,509,17.6,14
77,Ohio St. (Big Ten),32,17-15,562,17.6,14
77,Maine (America East),32,7-25,562,17.6,10
79,Albany (NY) (America East),33,21-12,580,17.6,17
80,Baylor (Big 12),31,25-6,545,17.6,8
81,New Orleans (Southland),29,18-11,511,17.6,10
82,Portland (West Coast),33,11-22,582,17.6,15
83,Rutgers (Big Ten),32,15-17,565,17.7,7
84,Northern Ky. (Horizon),34,24-10,601,17.7,9
85,North Carolina (Atlantic Coast),32,26-6,566,17.7,10
86,Illinois St. (Missouri Valley),33,27-6,585,17.7,10
86,UT Martin (OVC),33,21-12,585,17.7,7
86,Missouri St. (Missouri Valley),33,17-16,585,17.7,10
89,Saint Joseph's (Atlantic 10),31,11-20,550,17.7,8
90,N.C. Central (Mid-Eastern),31,23-8,551,17.8,10
91,Belmont (OVC),28,22-6,498,17.8,10
92,Texas (Big 12),32,11-21,570,17.8,12
93,Oral Roberts (Summit League),30,8-22,535,17.8,15
94,Furman (Southern),32,21-11,572,17.9,5
95,Kansas St. (Big 12),31,19-12,555,17.9,10
96,Penn (Ivy League),27,13-14,484,17.9,8
97,UC Santa Barbara (Big West),28,6-22,502,17.9,6
98,Ohio (Mid-American),29,19-10,520,17.9,11
99,Iowa (Big Ten),31,18-13,556,17.9,3
100,Troy (Sun Belt),33,19-14,592,17.9,9
101,Longwood (Big South),30,6-24,540,18,12
101,Mt. St. Mary's (Northeast),34,19-15,612,18,7
101,Middle Tenn. (Conference USA),31,27-4,558,18,4
101,Texas St. (Sun Belt),30,18-12,540,18,8
105,Southern Ill. (Missouri Valley),33,17-16,595,18,12
106,Duke (Atlantic Coast),32,24-8,577,18,8
107,Fort Wayne (Summit League),31,19-12,559,18,9
108,UNCG (Southern),34,25-9,614,18.1,14
109,Coastal Caro. (Sun Belt),32,16-16,578,18.1,13
110,Jacksonville St. (OVC),34,20-14,615,18.1,24
110,Campbell (Big South),34,17-17,615,18.1,10
112,Temple (AAC),31,16-15,561,18.1,9
113,Alabama A&M (Southwestern),29,2-27,526,18.1,9
114,Penn St. (Big Ten),32,15-17,581,18.2,10
115,Kansas (Big 12),31,28-3,563,18.2,17
116,Tulsa (AAC),30,14-16,546,18.2,10
117,Winthrop (Big South),32,26-6,583,18.2,9
117,Air Force (Mountain West),32,12-20,583,18.2,16
119,Akron (Mid-American),31,24-7,565,18.2,11
119,Drake (Missouri Valley),31,7-24,565,18.2,5
121,Austin Peay (OVC),30,11-19,547,18.2,15
121,Sacramento St. (Big Sky),30,13-17,547,18.2,17
121,Old Dominion (Conference USA),30,19-11,547,18.2,9
124,Cornell (Ivy League),29,8-21,529,18.2,10
125,William & Mary (Colonial),31,17-14,566,18.3,10
126,North Carolina St. (Atlantic Coast),32,15-17,585,18.3,13
127,Dartmouth (Ivy League),27,7-20,494,18.3,7
128,American (Patriot),30,8-22,549,18.3,18
129,Niagara (Metro Atlantic),33,10-23,604,18.3,18
130,Milwaukee (Horizon),35,11-24,641,18.3,13
131,Illinois (Big Ten),31,18-13,568,18.3,3
132,Fairfield (Metro Atlantic),30,16-14,550,18.3,11
133,Colorado (Pac-12),32,19-13,587,18.3,7
134,Chattanooga (Southern),31,19-12,570,18.4,3
135,Northern Ariz. (Big Sky),32,9-23,590,18.4,9
136,FIU (Conference USA),31,7-24,572,18.5,14
137,Cal Poly (Big West),30,11-19,554,18.5,16
138,Little Rock (Sun Belt),32,15-17,591,18.5,10
139,Maryland (Big Ten),31,24-7,574,18.5,8
140,Bucknell (Patriot),34,26-8,630,18.5,6
141,Marshall (Conference USA),32,18-14,593,18.5,19
142,Wright St. (Horizon),32,20-12,594,18.6,14
142,Navy (Patriot),32,16-16,594,18.6,16
144,New Mexico St. (Western Athletic),30,25-5,557,18.6,12
145,FGCU (ASUN),33,26-7,613,18.6,9
146,La Salle (Atlantic 10),29,15-14,540,18.6,12
146,Central Conn. St. (Northeast),29,6-23,540,18.6,14
146,Davidson (Atlantic 10),29,15-14,540,18.6,14
149,Louisiana (Sun Belt),32,21-11,596,18.6,18
150,Nebraska (Big Ten),31,12-19,578,18.6,13
150,Idaho St. (Big Sky),31,5-26,578,18.6,12
152,Duquesne (Atlantic 10),32,10-22,597,18.7,15
152,Boston College (Atlantic Coast),32,9-23,597,18.7,14
154,Wofford (Southern),33,16-17,616,18.7,10
155,Florida (Southeastern),31,24-7,579,18.7,9
156,Santa Clara (West Coast),33,17-16,617,18.7,21
