Rank,Team,GM,W-L,ORebs,RPG
1,North Carolina (Atlantic Coast),32,26-6,506,15.81
2,Kent St. (Mid-American),32,19-13,495,15.47
3,Rutgers (Big Ten),32,15-17,472,14.75
4,West Virginia (Big 12),31,24-7,450,14.52
5,Wagner (Northeast),30,16-14,434,14.47
6,Morgan St. (Mid-Eastern),29,14-15,412,14.21
7,Quinnipiac (Metro Atlantic),31,10-21,432,13.94
8,Alabama St. (Southwestern),31,8-23,427,13.77
9,Houston Baptist (Southland),29,17-12,396,13.66
10,The Citadel (Southern),33,12-21,448,13.58
11,Oklahoma St. (Big 12),31,20-11,419,13.52
12,Louisiana (Sun Belt),32,21-11,432,13.5
13,Towson (Colonial),33,20-13,445,13.48
14,Louisville (Atlantic Coast),31,24-7,418,13.48
15,Jackson St. (Southwestern),32,14-18,425,13.28
16,Nebraska (Big Ten),31,12-19,411,13.26
17,Navy (Patriot),32,16-16,424,13.25
18,New Mexico St. (Western Athletic),30,25-5,397,13.23
19,LIU Brooklyn (Northeast),32,20-12,423,13.22
20,UT Martin (OVC),33,21-12,436,13.21
21,Morehead St. (OVC),30,14-16,396,13.2
22,Old Dominion (Conference USA),30,19-11,395,13.17
23,Washington (Pac-12),30,9-21,394,13.13
24,Seton Hall (Big East),30,20-10,392,13.07
25,Texas A&M (Southeastern),30,16-14,391,13.03
26,Kentucky (Southeastern),31,26-5,396,12.77
26,Baylor (Big 12),31,25-6,396,12.77
28,Rider (Metro Atlantic),33,18-15,421,12.76
29,UC Santa Barbara (Big West),28,6-22,356,12.71
30,South Carolina (Southeastern),31,22-9,394,12.71
31,Eastern Mich. (Mid-American),32,16-16,405,12.66
32,CSU Bakersfield (Western Athletic),29,21-8,367,12.66
33,Siena (Metro Atlantic),34,17-17,430,12.65
34,UTSA (Conference USA),32,14-18,404,12.63
35,St. Francis Brooklyn (Northeast),31,4-27,390,12.58
36,Northern Ill. (Mid-American),32,15-17,401,12.53
37,Alabama (Southeastern),30,17-13,374,12.47
38,North Florida (ASUN),34,15-19,423,12.44
39,Xavier (Big East),32,20-12,398,12.44
40,Wisconsin (Big Ten),31,23-8,385,12.42
40,Indiana (Big Ten),31,17-14,385,12.42
40,Buffalo (Mid-American),31,17-14,385,12.42
43,Western Caro. (Southern),32,9-23,397,12.41
43,Bethune-Cookman (Mid-Eastern),32,10-22,397,12.41
45,SMU (AAC),31,27-4,384,12.39
46,Radford (Big South),32,14-18,396,12.38
47,Ole Miss (Southeastern),31,19-12,383,12.35
48,Savannah St. (Mid-Eastern),29,13-16,358,12.34
49,Tennessee (Southeastern),31,16-15,382,12.32
50,Rhode Island (Atlantic 10),30,21-9,367,12.23
51,Cincinnati (AAC),31,27-4,379,12.23
52,Southern U. (Southwestern),32,15-17,391,12.22
53,Hampton (Mid-Eastern),29,14-15,354,12.21
54,Tennessee St. (OVC),30,17-13,366,12.2
55,Kansas (Big 12),31,28-3,378,12.19
56,Grambling (Southwestern),32,16-16,390,12.19
57,Green Bay (Horizon),31,18-13,377,12.16
58,USC Upstate (ASUN),32,17-15,389,12.16
59,Iowa (Big Ten),31,18-13,376,12.13
60,Howard (Mid-Eastern),33,10-23,400,12.12
61,Coastal Caro. (Sun Belt),32,16-16,387,12.09
62,Murray St. (OVC),33,16-17,399,12.09
63,New Orleans (Southland),29,18-11,350,12.07
64,Mississippi Val. (Southwestern),32,7-25,385,12.03
65,Southeastern La. (Southland),32,16-16,384,12
65,UNCW (Colonial),34,29-5,408,12
67,Wichita St. (Missouri Valley),34,30-4,407,11.97
68,Eastern Ill. (OVC),29,14-15,347,11.97
69,Northern Ariz. (Big Sky),32,9-23,382,11.94
70,UTRGV (Western Athletic),31,10-21,370,11.94
71,Drexel (Colonial),32,9-23,380,11.88
72,UT Arlington (Sun Belt),31,24-7,368,11.87
73,Colorado (Pac-12),32,19-13,379,11.84
74,Texas Southern (Southwestern),32,21-11,378,11.81
75,Niagara (Metro Atlantic),33,10-23,389,11.79
76,SIUE (OVC),30,6-24,353,11.77
76,Alcorn (Southwestern),30,17-13,353,11.77
78,Lamar University (Southland),32,19-13,376,11.75
79,N.C. Central (Mid-Eastern),31,23-8,364,11.74
80,Ill.-Chicago (Horizon),33,15-18,387,11.73
81,Southern Utah (Big Sky),32,6-26,374,11.69
82,Loyola Maryland (Patriot),31,15-16,362,11.68
82,Western Mich. (Mid-American),31,16-15,362,11.68
82,Florida St. (Atlantic Coast),31,24-7,362,11.68
82,California (Pac-12),31,20-11,362,11.68
86,St. Bonaventure (Atlantic 10),30,19-11,350,11.67
86,Pacific (West Coast),33,11-22,385,11.67
88,Sam Houston St. (Southland),32,20-12,373,11.66
89,Oklahoma (Big 12),31,11-20,361,11.65
89,George Washington (Atlantic 10),31,18-13,361,11.65
89,Florida (Southeastern),31,24-7,361,11.65
92,Northwestern St. (Southland),29,13-16,337,11.62
93,Hofstra (Colonial),32,15-17,371,11.59
94,Colorado St. (Mountain West),31,21-10,358,11.55
94,Memphis (AAC),31,19-12,358,11.55
96,Auburn (Southeastern),32,18-14,369,11.53
97,UNCG (Southern),34,25-9,392,11.53
98,Arkansas (Southeastern),31,23-8,357,11.52
98,NJIT (ASUN),31,11-20,357,11.52
100,Mercer (Southern),32,15-17,367,11.47
101,Houston (AAC),30,21-9,344,11.47
102,LSU (Southeastern),31,10-21,355,11.45
103,Central Conn. St. (Northeast),29,6-23,332,11.45
104,Long Beach St. (Big West),32,14-18,366,11.44
105,Missouri St. (Missouri Valley),33,17-16,377,11.42
106,TCU (Big 12),32,18-14,365,11.41
106,UNLV (Mountain West),32,11-21,365,11.41
108,SFA (Southland),30,17-13,342,11.4
109,Coppin St. (Mid-Eastern),33,8-25,376,11.39
110,Central Mich. (Mid-American),32,16-16,364,11.38
111,Saint Joseph's (Atlantic 10),31,11-20,351,11.32
112,Tulane (AAC),30,6-24,339,11.3
112,Appalachian St. (Sun Belt),30,9-21,339,11.3
114,Sacred Heart (Northeast),32,13-19,361,11.28
115,FGCU (ASUN),33,26-7,372,11.27
115,Gardner-Webb (Big South),33,19-14,372,11.27
117,UCF (AAC),30,20-10,338,11.27
118,George Mason (Atlantic 10),31,19-12,348,11.23
119,Missouri (Southeastern),31,8-23,347,11.19
119,Nevada (Mountain West),31,25-6,347,11.19
119,Minnesota (Big Ten),31,23-8,347,11.19
119,East Carolina (AAC),31,14-17,347,11.19
123,Kennesaw St. (ASUN),32,14-18,358,11.19
124,Monmouth (Metro Atlantic),33,27-6,369,11.18
125,UC Irvine (Big West),32,19-13,357,11.16
126,Tennessee Tech (OVC),32,12-20,356,11.13
127,Albany (NY) (America East),33,21-12,367,11.12
128,Northern Ky. (Horizon),34,24-10,378,11.12
129,Manhattan (Metro Atlantic),32,10-22,355,11.09
130,Troy (Sun Belt),33,19-14,366,11.09
131,Idaho (Big Sky),29,17-12,321,11.07
132,Loyola Marymount (West Coast),30,15-15,332,11.07
133,Miami (FL) (Atlantic Coast),31,21-10,343,11.06
134,Clemson (Atlantic Coast),32,17-15,354,11.06
135,South Fla. (AAC),29,7-22,320,11.03
136,Bowling Green (Mid-American),32,13-19,353,11.03
137,Robert Morris (Northeast),33,14-19,363,11
137,Arkansas St. (Sun Belt),32,20-12,352,11
139,N.C. A&T (Mid-Eastern),32,3-29,351,10.97
140,Cleveland St. (Horizon),31,9-22,339,10.94
140,Northwestern (Big Ten),31,21-10,339,10.94
142,IUPUI (Summit League),32,14-18,348,10.88
142,Delaware St. (Mid-Eastern),32,10-22,348,10.88
144,Canisius (Metro Atlantic),33,18-15,358,10.85
145,Duke (Atlantic Coast),32,24-8,347,10.84
146,Maryland (Big Ten),31,24-7,336,10.84
146,Charleston So. (Big South),31,12-19,336,10.84
148,Southern California (Pac-12),31,23-8,335,10.81
148,Stony Brook (America East),31,18-13,335,10.81
150,Saint Francis (PA) (Northeast),32,16-16,345,10.78
150,Bryant (Northeast),32,12-20,345,10.78
152,Cal St. Fullerton (Big West),29,16-13,312,10.76
153,Valparaiso (Horizon),32,24-8,344,10.75
154,Duquesne (Atlantic 10),32,10-22,343,10.72
155,Northern Colo. (Big Sky),29,11-18,310,10.69
156,Wake Forest (Atlantic Coast),32,19-13,342,10.69
157,VCU (Atlantic 10),31,24-7,329,10.61
158,DePaul (Big East),32,9-23,339,10.59
158,Syracuse (Atlantic Coast),32,18-14,339,10.59
160,Omaha (Summit League),32,18-14,338,10.56
161,Oregon (Pac-12),31,27-4,327,10.55
161,Chicago St. (Western Athletic),31,6-25,327,10.55
163,Southern Ill. (Missouri Valley),33,17-16,348,10.55
164,Fla. Atlantic (Conference USA),30,10-20,316,10.53
165,Central Ark. (Southland),32,8-24,337,10.53
165,South Ala. (Sun Belt),32,14-18,337,10.53
167,A&M-Corpus Chris (Southland),29,19-10,305,10.52
