Rank,Team,GM,W-L,3FG,3FGA,3FG%
1,Marquette (Big East),30,19-11,312,725,43
2,Kennesaw St. (ASUN),32,14-18,206,495,41.6
3,UCLA (Pac-12),31,28-3,314,757,41.5
4,Weber St. (Big Sky),29,17-12,265,641,41.3
5,Wichita St. (Missouri Valley),34,30-4,296,725,40.8
6,Kansas (Big 12),31,28-3,269,659,40.8
7,Jacksonville (ASUN),32,17-15,319,784,40.7
8,Fort Wayne (Summit League),31,19-12,333,819,40.7
9,Purdue (Big Ten),31,25-6,280,690,40.6
10,Virginia Tech (Atlantic Coast),31,22-9,275,678,40.6
11,Wofford (Southern),33,16-17,311,771,40.3
12,Creighton (Big East),31,23-8,274,680,40.3
13,SMU (AAC),31,27-4,253,628,40.3
14,Samford (Southern),34,19-15,271,673,40.3
15,Oklahoma St. (Big 12),31,20-11,279,693,40.3
16,Denver (Summit League),30,16-14,223,555,40.2
17,St. Mary's (CA) (West Coast),32,28-4,282,706,39.9
18,Iowa St. (Big 12),30,20-10,299,750,39.9
19,Iona (Metro Atlantic),34,22-12,332,836,39.7
20,UMBC (America East),30,18-12,287,725,39.6
21,UNC Asheville (Big South),32,23-9,258,652,39.6
22,Houston (AAC),30,21-9,255,647,39.4
23,Virginia (Atlantic Coast),31,22-9,217,551,39.4
24,Lehigh (Patriot),32,20-12,270,689,39.2
25,Arizona (Pac-12),31,27-4,203,520,39
26,Rice (Conference USA),32,22-10,301,772,39
27,Ohio (Mid-American),29,19-10,274,703,39
28,Notre Dame (Atlantic Coast),31,23-8,296,761,38.9
29,Loyola Chicago (Missouri Valley),32,18-14,259,666,38.9
30,Western Ill. (Summit League),28,8-20,254,654,38.8
31,Omaha (Summit League),32,18-14,297,765,38.8
32,Furman (Southern),32,21-11,293,755,38.8
33,IUPUI (Summit League),32,14-18,288,743,38.8
34,Saint Francis (PA) (Northeast),32,16-16,255,658,38.8
35,UNCG (Southern),34,25-9,301,778,38.7
36,Wake Forest (Atlantic Coast),32,19-13,259,670,38.7
37,Nevada (Mountain West),31,25-6,286,740,38.6
38,Michigan (Big Ten),31,20-11,295,764,38.6
39,Morehead St. (OVC),30,14-16,219,568,38.6
40,Dayton (Atlantic 10),30,24-6,241,626,38.5
41,Syracuse (Atlantic Coast),32,18-14,283,737,38.4
42,Princeton (Ivy League),27,21-6,274,714,38.4
43,Saint Peter's (Metro Atlantic),32,19-13,256,668,38.3
44,ETSU (Southern),34,27-7,256,669,38.3
45,William & Mary (Colonial),31,17-14,283,740,38.2
46,Santa Clara (West Coast),33,17-16,318,832,38.2
47,Gonzaga (West Coast),33,32-1,241,631,38.2
48,Oregon (Pac-12),31,27-4,271,710,38.2
49,Michigan St. (Big Ten),31,18-13,243,637,38.1
50,Wright St. (Horizon),32,20-12,285,749,38.1
51,Eastern Wash. (Big Sky),31,21-10,256,673,38
52,Arkansas St. (Sun Belt),32,20-12,220,579,38
53,Vanderbilt (Southeastern),31,17-14,307,808,38
54,Ball St. (Mid-American),31,20-11,284,750,37.9
55,Gardner-Webb (Big South),33,19-14,209,552,37.9
56,North Dakota (Big Sky),28,19-9,193,510,37.8
57,Akron (Mid-American),31,24-7,324,857,37.8
58,Bucknell (Patriot),34,26-8,277,734,37.7
59,Albany (NY) (America East),33,21-12,181,480,37.7
60,High Point (Big South),31,15-16,196,520,37.7
61,Indiana (Big Ten),31,17-14,269,715,37.6
62,Charlotte (Conference USA),30,13-17,237,630,37.6
63,George Washington (Atlantic 10),31,18-13,249,663,37.6
64,Montana St. (Big Sky),32,16-16,320,853,37.5
65,Central Ark. (Southland),32,8-24,230,614,37.5
66,Canisius (Metro Atlantic),33,18-15,304,812,37.4
67,Boston College (Atlantic Coast),32,9-23,256,684,37.4
68,Providence (Big East),31,20-11,226,604,37.4
69,Portland (West Coast),33,11-22,214,573,37.3
70,Winthrop (Big South),32,26-6,304,814,37.3
71,Utah St. (Mountain West),29,13-16,216,580,37.2
72,Jacksonville St. (OVC),34,20-14,248,666,37.2
73,Iowa (Big Ten),31,18-13,265,712,37.2
74,Eastern Ill. (OVC),29,14-15,259,696,37.2
75,UMKC (Western Athletic),31,16-15,283,761,37.2
76,Detroit Mercy (Horizon),31,8-23,251,675,37.2
77,Duke (Atlantic Coast),32,24-8,266,716,37.2
78,Ga. Southern (Sun Belt),31,18-13,290,783,37
79,Monmouth (Metro Atlantic),33,27-6,287,775,37
80,Colgate (Patriot),32,10-22,271,732,37
81,Marshall (Conference USA),32,18-14,323,873,37
82,North Carolina (Atlantic Coast),32,26-6,234,633,37
83,Western Mich. (Mid-American),31,16-15,201,544,36.9
84,Pepperdine (West Coast),31,9-22,178,482,36.9
85,Arkansas (Southeastern),31,23-8,206,558,36.9
86,Texas Tech (Big 12),32,18-14,212,575,36.9
87,Vermont (America East),33,28-5,213,578,36.9
88,Illinois (Big Ten),31,18-13,234,635,36.9
89,North Dakota St. (Summit League),30,19-11,232,630,36.8
90,Villanova (Big East),31,28-3,271,736,36.8
91,Butler (Big East),30,23-7,233,633,36.8
92,Arizona St. (Pac-12),32,15-17,319,867,36.8
93,Air Force (Mountain West),32,12-20,260,707,36.8
94,Hofstra (Colonial),32,15-17,291,792,36.7
95,Oral Roberts (Summit League),30,8-22,216,588,36.7
96,Southeast Mo. St. (OVC),33,15-18,263,716,36.7
97,Brown (Ivy League),30,13-17,244,665,36.7
98,Northeastern (Colonial),31,15-16,267,728,36.7
