Rank,Team,GM,W-L,REB,RPG,OPP REB,OPP RPG,REB MAR
1,North Carolina (Atlantic Coast),32,26-6,1400,43.8,985,30.8,13
2,SMU (AAC),31,27-4,1209,39,905,29.2,9.8
3,UCF (AAC),30,20-10,1257,41.9,976,32.5,9.4
4,St. Mary's (CA) (West Coast),32,28-4,1140,35.6,841,26.3,9.3
5,Wichita St. (Missouri Valley),34,30-4,1389,40.9,1087,32,8.9
6,Baylor (Big 12),31,25-6,1181,38.1,907,29.3,8.8
7,Towson (Colonial),33,20-13,1305,39.5,1043,31.6,7.9
8,Gonzaga (West Coast),33,32-1,1330,40.3,1073,32.5,7.8
9,Indiana (Big Ten),31,17-14,1217,39.3,984,31.7,7.5
10,UC Irvine (Big West),32,19-13,1277,39.9,1040,32.5,7.4
11,Utah (Pac-12),30,20-10,1152,38.4,930,31,7.4
12,Albany (NY) (America East),33,21-12,1191,36.1,947,28.7,7.4
13,George Mason (Atlantic 10),31,19-12,1249,40.3,1022,33,7.3
13,California (Pac-12),31,20-11,1225,39.5,998,32.2,7.3
15,New Mexico St. (Western Athletic),30,25-5,1202,40.1,985,32.8,7.2
15,Wagner (Northeast),30,16-14,1184,39.5,967,32.2,7.2
17,Purdue (Big Ten),31,25-6,1177,38,958,30.9,7.1
18,Arizona (Pac-12),31,27-4,1143,36.9,928,29.9,6.9
19,Xavier (Big East),32,20-12,1216,38,1003,31.3,6.7
20,Seton Hall (Big East),30,20-10,1187,39.6,992,33.1,6.5
21,Wisconsin (Big Ten),31,23-8,1168,37.7,967,31.2,6.5
22,Louisiana (Sun Belt),32,21-11,1222,38.2,1015,31.7,6.5
23,Kent St. (Mid-American),32,19-13,1308,40.9,1107,34.6,6.3
24,Houston Baptist (Southland),29,17-12,1123,38.7,942,32.5,6.2
25,FGCU (ASUN),33,26-7,1243,37.7,1039,31.5,6.2
26,New Hampshire (America East),32,20-12,1227,38.3,1033,32.3,6.1
27,Louisville (Atlantic Coast),31,24-7,1233,39.8,1052,33.9,5.8
28,LIU Brooklyn (Northeast),32,20-12,1242,38.8,1058,33.1,5.8
29,Kentucky (Southeastern),31,26-5,1256,40.5,1080,34.8,5.7
30,Missouri St. (Missouri Valley),33,17-16,1212,36.7,1025,31.1,5.7
31,Rutgers (Big Ten),32,15-17,1300,40.6,1124,35.1,5.5
31,Alabama (Southeastern),30,17-13,1182,39.4,1017,33.9,5.5
33,Mercer (Southern),32,15-17,1174,36.7,999,31.2,5.5
34,Old Dominion (Conference USA),30,19-11,1146,38.2,982,32.7,5.5
35,Navy (Patriot),32,16-16,1134,35.4,960,30,5.4
36,Texas A&M (Southeastern),30,16-14,1161,38.7,998,33.3,5.4
37,BYU (West Coast),33,22-11,1374,41.6,1196,36.2,5.4
38,Middle Tenn. (Conference USA),31,27-4,1098,35.4,932,30.1,5.4
39,Fort Wayne (Summit League),31,19-12,1170,37.7,1010,32.6,5.2
40,George Washington (Atlantic 10),31,18-13,1153,37.2,996,32.1,5.1
41,Miami (FL) (Atlantic Coast),31,21-10,1124,36.3,971,31.3,4.9
42,UT Martin (OVC),33,21-12,1247,37.8,1085,32.9,4.9
43,Morehead St. (OVC),30,14-16,1128,37.6,982,32.7,4.9
44,Buffalo (Mid-American),31,17-14,1257,40.5,1107,35.7,4.8
45,Valparaiso (Horizon),32,24-8,1225,38.3,1071,33.5,4.8
46,CSU Bakersfield (Western Athletic),29,21-8,1123,38.7,984,33.9,4.8
47,Northern Ky. (Horizon),34,24-10,1279,37.6,1119,32.9,4.7
48,Tennessee St. (OVC),30,17-13,1118,37.3,978,32.6,4.7
49,Radford (Big South),32,14-18,1219,38.1,1070,33.4,4.7
50,Cincinnati (AAC),31,27-4,1156,37.3,1014,32.7,4.6
51,ETSU (Southern),34,27-7,1237,36.4,1086,31.9,4.4
52,Siena (Metro Atlantic),34,17-17,1284,37.8,1135,33.4,4.4
53,UCLA (Pac-12),31,28-3,1218,39.3,1084,35,4.3
53,Kansas (Big 12),31,28-3,1212,39.1,1078,34.8,4.3
55,Rider (Metro Atlantic),33,18-15,1331,40.3,1191,36.1,4.2
55,Vermont (America East),33,28-5,1132,34.3,992,30.1,4.2
57,Denver (Summit League),30,16-14,1058,35.3,933,31.1,4.2
58,Jacksonville St. (OVC),34,20-14,1221,35.9,1080,31.8,4.1
59,UT Arlington (Sun Belt),31,24-7,1203,38.8,1075,34.7,4.1
60,Rice (Conference USA),32,22-10,1225,38.3,1093,34.2,4.1
61,Toledo (Mid-American),32,17-15,1207,37.7,1077,33.7,4.1
62,Gardner-Webb (Big South),33,19-14,1259,38.2,1127,34.2,4
63,New Orleans (Southland),29,18-11,1043,36,928,32,4
64,Oregon (Pac-12),31,27-4,1130,36.5,1009,32.5,3.9
65,SFA (Southland),30,17-13,1042,34.7,926,30.9,3.9
66,UNCG (Southern),34,25-9,1213,35.7,1083,31.9,3.8
67,Southeastern La. (Southland),32,16-16,1154,36.1,1033,32.3,3.8
68,UTSA (Conference USA),32,14-18,1253,39.2,1133,35.4,3.8
69,UAB (Conference USA),32,17-15,1153,36,1034,32.3,3.7
70,Yale (Ivy League),27,17-10,981,36.3,881,32.6,3.7
