Rank,Team,GM,W-L,OPP PTS,OPP PPG
1,Virginia (Atlantic Coast),31,22-9,1709,55.1
2,St. Mary's (CA) (West Coast),32,28-4,1808,56.5
3,SMU (AAC),31,27-4,1842,59.4
4,Cincinnati (AAC),31,27-4,1865,60.2
5,UCF (AAC),30,20-10,1816,60.5
6,Illinois St. (Missouri Valley),33,27-6,2012,61
7,Old Dominion (Conference USA),30,19-11,1832,61.1
8,Gonzaga (West Coast),33,32-1,2018,61.2
9,Princeton (Ivy League),27,21-6,1660,61.5
10,Wisconsin (Big Ten),31,23-8,1909,61.6
11,Saint Peter's (Metro Atlantic),32,19-13,1978,61.8
12,Vermont (America East),33,28-5,2041,61.8
13,San Diego St. (Mountain West),31,18-13,1925,62.1
14,Holy Cross (Patriot),32,15-17,1988,62.1
15,CSU Bakersfield (Western Athletic),29,21-8,1804,62.2
16,California (Pac-12),31,20-11,1933,62.4
17,Wichita St. (Missouri Valley),34,30-4,2123,62.4
18,Baylor (Big 12),31,25-6,1937,62.5
19,Liberty (Big South),32,19-13,2018,63.1
20,Villanova (Big East),31,28-3,1955,63.1
20,Middle Tenn. (Conference USA),31,27-4,1955,63.1
22,Miami (FL) (Atlantic Coast),31,21-10,1960,63.2
23,Texas St. (Sun Belt),30,18-12,1920,64
23,N.C. Central (Mid-Eastern),31,23-8,1984,64
25,Col. of Charleston (Colonial),34,25-9,2179,64.1
26,Navy (Patriot),32,16-16,2053,64.2
27,Houston (AAC),30,21-9,1925,64.2
28,Arizona (Pac-12),31,27-4,1992,64.3
29,UNI (Missouri Valley),30,14-16,1931,64.4
30,East Carolina (AAC),31,14-17,1998,64.5
31,South Carolina (Southeastern),31,22-9,1999,64.5
32,Oregon (Pac-12),31,27-4,2006,64.7
33,Alabama (Southeastern),30,17-13,1942,64.7
34,UC Irvine (Big West),32,19-13,2072,64.8
35,Northwestern (Big Ten),31,21-10,2011,64.9
36,Rhode Island (Atlantic 10),30,21-9,1955,65.2
37,Louisville (Atlantic Coast),31,24-7,2026,65.4
38,Santa Clara (West Coast),33,17-16,2158,65.4
39,Harvard (Ivy League),27,18-9,1769,65.5
40,Michigan (Big Ten),31,20-11,2036,65.7
41,Wagner (Northeast),30,16-14,1973,65.8
42,UConn (AAC),30,14-16,1977,65.9
43,VCU (Atlantic 10),31,24-7,2051,66.2
44,New Hampshire (America East),32,20-12,2118,66.2
45,Louisiana Tech (Conference USA),31,22-9,2053,66.2
46,Albany (NY) (America East),33,21-12,2186,66.2
47,Furman (Southern),32,21-11,2121,66.3
48,Dayton (Atlantic 10),30,24-6,1989,66.3
49,Florida (Southeastern),31,24-7,2058,66.4
50,Providence (Big East),31,20-11,2062,66.5
51,Rutgers (Big Ten),32,15-17,2132,66.6
52,Georgia Tech (Atlantic Coast),32,17-15,2137,66.8
52,Loyola Chicago (Missouri Valley),32,18-14,2137,66.8
52,San Francisco (West Coast),32,20-12,2137,66.8
55,West Virginia (Big 12),31,24-7,2072,66.8
56,Purdue (Big Ten),31,25-6,2075,66.9
57,Jackson St. (Southwestern),32,14-18,2142,66.9
58,Texas Tech (Big 12),32,18-14,2146,67.1
59,Fordham (Atlantic 10),31,13-18,2085,67.3
60,Bucknell (Patriot),34,26-8,2290,67.4
61,Kansas St. (Big 12),31,19-12,2094,67.5
62,Colorado St. (Mountain West),31,21-10,2095,67.6
63,Utah (Pac-12),30,20-10,2029,67.6
64,Jacksonville St. (OVC),34,20-14,2300,67.6
65,Maryland (Big Ten),31,24-7,2098,67.7
66,Tennessee St. (OVC),30,17-13,2032,67.7
67,Robert Morris (Northeast),33,14-19,2238,67.8
68,Penn (Ivy League),27,13-14,1832,67.9
69,Texas A&M (Southeastern),30,16-14,2036,67.9
70,UNC Asheville (Big South),32,23-9,2172,67.9
71,Hawaii (Big West),29,14-15,1975,68.1
72,UTEP (Conference USA),30,14-16,2044,68.1
73,Southeastern La. (Southland),32,16-16,2182,68.2
74,New Mexico St. (Western Athletic),30,25-5,2046,68.2
75,Mercer (Southern),32,15-17,2184,68.3
76,Little Rock (Sun Belt),32,15-17,2185,68.3
77,American (Patriot),30,8-22,2049,68.3
78,Loyola Maryland (Patriot),31,15-16,2119,68.4
79,Valparaiso (Horizon),32,24-8,2192,68.5
80,Evansville (Missouri Valley),33,16-17,2261,68.5
81,Mt. St. Mary's (Northeast),34,19-15,2332,68.6
82,Butler (Big East),30,23-7,2058,68.6
83,UNCG (Southern),34,25-9,2334,68.6
84,SFA (Southland),30,17-13,2062,68.7
85,Alcorn (Southwestern),30,17-13,2063,68.8
86,Chattanooga (Southern),31,19-12,2132,68.8
87,FGCU (ASUN),33,26-7,2270,68.8
88,Stony Brook (America East),31,18-13,2133,68.8
89,High Point (Big South),31,15-16,2136,68.9
90,UTSA (Conference USA),32,14-18,2205,68.9
91,Minnesota (Big Ten),31,23-8,2138,69
91,Vanderbilt (Southeastern),31,17-14,2138,69
93,Missouri St. (Missouri Valley),33,17-16,2277,69
94,Texas (Big 12),32,11-21,2210,69.1
95,Arkansas St. (Sun Belt),32,20-12,2211,69.1
96,Michigan St. (Big Ten),31,18-13,2142,69.1
97,UT Arlington (Sun Belt),31,24-7,2144,69.2
98,Towson (Colonial),33,20-13,2283,69.2
99,Belmont (OVC),28,22-6,1938,69.2
100,Duke (Atlantic Coast),32,24-8,2215,69.2
101,Notre Dame (Atlantic Coast),31,23-8,2147,69.3
102,LIU Brooklyn (Northeast),32,20-12,2218,69.3
103,ETSU (Southern),34,27-7,2358,69.4
104,Southern Ill. (Missouri Valley),33,17-16,2289,69.4
105,Georgia St. (Sun Belt),30,19-11,2082,69.4
106,TCU (Big 12),32,18-14,2224,69.5
107,New Orleans (Southland),29,18-11,2020,69.7
108,James Madison (Colonial),33,10-23,2299,69.7
109,Illinois (Big Ten),31,18-13,2161,69.7
110,Ohio St. (Big Ten),32,17-15,2232,69.8
111,Saint Louis (Atlantic 10),32,12-20,2235,69.8
112,Yale (Ivy League),27,17-10,1886,69.9
113,La.-Monroe (Sun Belt),32,9-23,2236,69.9
114,Ohio (Mid-American),29,19-10,2032,70.1
115,George Washington (Atlantic 10),31,18-13,2173,70.1
116,UC Riverside (Big West),27,7-20,1895,70.2
117,Winthrop (Big South),32,26-6,2246,70.2
118,Fresno St. (Mountain West),30,19-11,2106,70.2
119,UAB (Conference USA),32,17-15,2247,70.2
