Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
1,Gonzaga (West Coast),33,32-1,2791,84.6,2018,61.2,23.4
2,Wichita St. (Missouri Valley),34,30-4,2790,82.1,2123,62.4,19.6
3,West Virginia (Big 12),31,24-7,2599,83.8,2072,66.8,17
4,UCLA (Pac-12),31,28-3,2831,91.3,2326,75,16.3
5,St. Mary's (CA) (West Coast),32,28-4,2304,72,1808,56.5,15.5
6,SMU (AAC),31,27-4,2312,74.6,1842,59.4,15.2
7,North Carolina (Atlantic Coast),32,26-6,2726,85.2,2255,70.5,14.7
8,Kentucky (Southeastern),31,26-5,2690,86.8,2235,72.1,14.7
9,Oregon (Pac-12),31,27-4,2456,79.2,2006,64.7,14.5
9,Cincinnati (AAC),31,27-4,2315,74.7,1865,60.2,14.5
11,Villanova (Big East),31,28-3,2404,77.5,1955,63.1,14.5
12,Purdue (Big Ten),31,25-6,2494,80.5,2075,66.9,13.5
13,Florida (Southeastern),31,24-7,2443,78.8,2058,66.4,12.4
14,Vermont (America East),33,28-5,2445,74.1,2041,61.8,12.2
15,Louisville (Atlantic Coast),31,24-7,2404,77.5,2026,65.4,12.2
16,Florida St. (Atlantic Coast),31,24-7,2574,83,2207,71.2,11.8
17,Virginia (Atlantic Coast),31,22-9,2073,66.9,1709,55.1,11.7
18,Louisiana Tech (Conference USA),31,22-9,2411,77.8,2053,66.2,11.5
19,New Mexico St. (Western Athletic),30,25-5,2390,79.7,2046,68.2,11.5
20,N.C. Central (Mid-Eastern),31,23-8,2335,75.3,1984,64,11.3
21,Utah (Pac-12),30,20-10,2368,78.9,2029,67.6,11.3
22,Duke (Atlantic Coast),32,24-8,2574,80.4,2215,69.2,11.2
23,Middle Tenn. (Conference USA),31,27-4,2300,74.2,1955,63.1,11.1
24,Arizona (Pac-12),31,27-4,2332,75.2,1992,64.3,11
25,Wisconsin (Big Ten),31,23-8,2244,72.4,1909,61.6,10.8
26,Kansas (Big 12),31,28-3,2565,82.7,2231,72,10.8
27,Princeton (Ivy League),27,21-6,1948,72.1,1660,61.5,10.7
28,FGCU (ASUN),33,26-7,2621,79.4,2270,68.8,10.6
29,ETSU (Southern),34,27-7,2717,79.9,2358,69.4,10.6
30,Creighton (Big East),31,23-8,2587,83.5,2261,72.9,10.5
30,Baylor (Big 12),31,25-6,2263,73,1937,62.5,10.5
32,Dayton (Atlantic 10),30,24-6,2303,76.8,1989,66.3,10.5
33,UNCW (Colonial),34,29-5,2896,85.2,2548,74.9,10.2
34,Houston (AAC),30,21-9,2218,73.9,1925,64.2,9.8
35,Winthrop (Big South),32,26-6,2551,79.7,2246,70.2,9.5
36,Notre Dame (Atlantic Coast),31,23-8,2435,78.5,2147,69.3,9.3
37,UNC Asheville (Big South),32,23-9,2469,77.2,2172,67.9,9.3
38,CSU Bakersfield (Western Athletic),29,21-8,2066,71.2,1804,62.2,9
39,Michigan (Big Ten),31,20-11,2314,74.6,2036,65.7,9
40,Fort Wayne (Summit League),31,19-12,2719,87.7,2444,78.8,8.9
41,Nevada (Mountain West),31,25-6,2474,79.8,2200,71,8.8
42,UT Arlington (Sun Belt),31,24-7,2416,77.9,2144,69.2,8.8
43,Bucknell (Patriot),34,26-8,2587,76.1,2290,67.4,8.7
44,Oakland (Horizon),32,24-8,2542,79.4,2263,70.7,8.7
45,VCU (Atlantic 10),31,24-7,2318,74.8,2051,66.2,8.6
46,Iowa St. (Big 12),30,20-10,2413,80.4,2156,71.9,8.6
47,Butler (Big East),30,23-7,2308,76.9,2058,68.6,8.3
48,South Carolina (Southeastern),31,22-9,2253,72.7,1999,64.5,8.2
49,Belmont (OVC),28,22-6,2167,77.4,1938,69.2,8.2
50,Furman (Southern),32,21-11,2381,74.4,2121,66.3,8.1
51,Oklahoma St. (Big 12),31,20-11,2654,85.6,2405,77.6,8
52,Monmouth (Metro Atlantic),33,27-6,2678,81.2,2413,73.1,8
53,Marquette (Big East),30,19-11,2482,82.7,2243,74.8,8
54,Rhode Island (Atlantic 10),30,21-9,2193,73.1,1955,65.2,7.9
55,Illinois St. (Missouri Valley),33,27-6,2271,68.8,2012,61,7.8
56,Ohio (Mid-American),29,19-10,2254,77.7,2032,70.1,7.7
57,North Dakota (Big Sky),28,19-9,2239,80,2032,72.6,7.4
58,Lipscomb (ASUN),33,20-13,2804,85,2562,77.6,7.3
59,Indiana (Big Ten),31,17-14,2493,80.4,2273,73.3,7.1
60,BYU (West Coast),33,22-11,2652,80.4,2418,73.3,7.1
61,Akron (Mid-American),31,24-7,2407,77.6,2188,70.6,7.1
62,Gardner-Webb (Big South),33,19-14,2546,77.2,2319,70.3,6.9
63,Maryland (Big Ten),31,24-7,2309,74.5,2098,67.7,6.8
64,Valparaiso (Horizon),32,24-8,2408,75.3,2192,68.5,6.8
65,Lamar University (Southland),32,19-13,2504,78.3,2289,71.5,6.7
66,Miami (FL) (Atlantic Coast),31,21-10,2167,69.9,1960,63.2,6.7
67,Minnesota (Big Ten),31,23-8,2344,75.6,2138,69,6.6
68,Loyola Chicago (Missouri Valley),32,18-14,2348,73.4,2137,66.8,6.6
69,Rice (Conference USA),32,22-10,2613,81.7,2403,75.1,6.6
