Rank,Team,GM,W-L,PTS,PPG
1,UCLA (Pac-12),31,28-3,2831,91.3
2,The Citadel (Southern),33,12-21,2964,89.8
3,Central Mich. (Mid-American),32,16-16,2826,88.3
4,Fort Wayne (Summit League),31,19-12,2719,87.7
5,Kentucky (Southeastern),31,26-5,2690,86.8
6,Marshall (Conference USA),32,18-14,2768,86.5
7,Portland St. (Big Sky),30,15-15,2573,85.8
8,Savannah St. (Mid-Eastern),29,13-16,2485,85.7
9,Oklahoma St. (Big 12),31,20-11,2654,85.6
10,North Carolina (Atlantic Coast),32,26-6,2726,85.2
11,UNCW (Colonial),34,29-5,2896,85.2
12,Lipscomb (ASUN),33,20-13,2804,85
13,Gonzaga (West Coast),33,32-1,2791,84.6
14,Omaha (Summit League),32,18-14,2685,83.9
15,West Virginia (Big 12),31,24-7,2599,83.8
16,Creighton (Big East),31,23-8,2587,83.5
17,Florida St. (Atlantic Coast),31,24-7,2574,83
18,Kansas (Big 12),31,28-3,2565,82.7
19,Marquette (Big East),30,19-11,2482,82.7
20,Wake Forest (Atlantic Coast),32,19-13,2645,82.7
21,Louisiana (Sun Belt),32,21-11,2628,82.1
22,Wichita St. (Missouri Valley),34,30-4,2790,82.1
23,William & Mary (Colonial),31,17-14,2534,81.7
24,Rice (Conference USA),32,22-10,2613,81.7
25,UMBC (America East),30,18-12,2443,81.4
26,Monmouth (Metro Atlantic),33,27-6,2678,81.2
27,Arkansas (Southeastern),31,23-8,2499,80.6
28,Iona (Metro Atlantic),34,22-12,2736,80.5
29,Purdue (Big Ten),31,25-6,2494,80.5
30,Duke (Atlantic Coast),32,24-8,2574,80.4
31,Iowa St. (Big 12),30,20-10,2413,80.4
32,Indiana (Big Ten),31,17-14,2493,80.4
33,Auburn (Southeastern),32,18-14,2573,80.4
34,BYU (West Coast),33,22-11,2652,80.4
35,Iowa (Big Ten),31,18-13,2486,80.2
36,Green Bay (Horizon),31,18-13,2483,80.1
37,Montana St. (Big Sky),32,16-16,2561,80
38,Murray St. (OVC),33,16-17,2639,80
39,North Dakota (Big Sky),28,19-9,2239,80
40,ETSU (Southern),34,27-7,2717,79.9
41,Nevada (Mountain West),31,25-6,2474,79.8
42,Winthrop (Big South),32,26-6,2551,79.7
43,New Mexico St. (Western Athletic),30,25-5,2390,79.7
44,Virginia Tech (Atlantic Coast),31,22-9,2468,79.6
45,Oakland (Horizon),32,24-8,2542,79.4
46,FGCU (ASUN),33,26-7,2621,79.4
47,Houston Baptist (Southland),29,17-12,2303,79.4
48,Ball St. (Mid-American),31,20-11,2461,79.4
49,Toledo (Mid-American),32,17-15,2540,79.4
50,Samford (Southern),34,19-15,2698,79.4
51,Weber St. (Big Sky),29,17-12,2300,79.3
52,Arizona St. (Pac-12),32,15-17,2536,79.3
53,Oregon (Pac-12),31,27-4,2456,79.2
