Rank,Team,GM,ORebs,DRebs,REB,RPG
1,North Carolina (Atlantic Coast),32,506,894,1400,43.75
2,UCF (AAC),30,338,919,1257,41.9
3,BYU (West Coast),33,347,1027,1374,41.64
4,Green Bay (Horizon),31,377,901,1278,41.23
5,Kent St. (Mid-American),32,495,813,1308,40.88
6,Wichita St. (Missouri Valley),34,407,982,1389,40.85
7,Rutgers (Big Ten),32,472,828,1300,40.63
8,Buffalo (Mid-American),31,385,872,1257,40.55
9,Kentucky (Southeastern),31,396,860,1256,40.52
10,Rider (Metro Atlantic),33,421,910,1331,40.33
11,Savannah St. (Mid-Eastern),29,358,811,1169,40.31
12,Gonzaga (West Coast),33,309,1021,1330,40.3
13,George Mason (Atlantic 10),31,348,901,1249,40.29
14,Minnesota (Big Ten),31,347,896,1243,40.1
15,New Mexico St. (Western Athletic),30,397,805,1202,40.07
16,Coastal Caro. (Sun Belt),32,387,891,1278,39.94
17,UC Irvine (Big West),32,357,920,1277,39.91
18,Louisville (Atlantic Coast),31,418,815,1233,39.77
19,Ill.-Chicago (Horizon),33,387,922,1309,39.67
20,Seton Hall (Big East),30,392,795,1187,39.57
21,Towson (Colonial),33,445,860,1305,39.55
22,California (Pac-12),31,362,863,1225,39.52
23,Wagner (Northeast),30,434,750,1184,39.47
24,Quinnipiac (Metro Atlantic),31,432,791,1223,39.45
25,Alabama (Southeastern),30,374,808,1182,39.4
26,UCLA (Pac-12),31,304,914,1218,39.29
27,Indiana (Big Ten),31,385,832,1217,39.26
28,Ole Miss (Southeastern),31,383,831,1214,39.16
29,UTSA (Conference USA),32,404,849,1253,39.16
30,Kansas (Big 12),31,378,834,1212,39.1
31,Morgan St. (Mid-Eastern),29,412,721,1133,39.07
32,USC Upstate (ASUN),32,389,860,1249,39.03
33,SMU (AAC),31,384,825,1209,39
34,Oakland (Horizon),32,329,917,1246,38.94
35,Central Mich. (Mid-American),32,364,881,1245,38.91
36,Nevada (Mountain West),31,347,859,1206,38.9
37,North Florida (ASUN),34,423,898,1321,38.85
38,LIU Brooklyn (Northeast),32,423,819,1242,38.81
39,UT Arlington (Sun Belt),31,368,835,1203,38.81
40,Monmouth (Metro Atlantic),33,369,910,1279,38.76
41,Houston Baptist (Southland),29,396,727,1123,38.72
41,CSU Bakersfield (Western Athletic),29,367,756,1123,38.72
43,Iowa (Big Ten),31,376,824,1200,38.71
44,Texas A&M (Southeastern),30,391,770,1161,38.7
45,N.C. Central (Mid-Eastern),31,364,832,1196,38.58
46,Wyoming (Mountain West),32,274,958,1232,38.5
47,Alabama St. (Southwestern),31,427,765,1192,38.45
47,Colorado St. (Mountain West),31,358,834,1192,38.45
49,Alcorn (Southwestern),30,353,800,1153,38.43
50,Utah (Pac-12),30,304,848,1152,38.4
51,New Hampshire (America East),32,324,903,1227,38.34
52,Nebraska (Big Ten),31,411,776,1187,38.29
53,Valparaiso (Horizon),32,344,881,1225,38.28
53,Rice (Conference USA),32,326,899,1225,38.28
55,Niagara (Metro Atlantic),33,389,872,1261,38.21
56,Old Dominion (Conference USA),30,395,751,1146,38.2
57,Louisiana (Sun Belt),32,432,790,1222,38.19
58,Gardner-Webb (Big South),33,372,887,1259,38.15
59,Utah Valley (Western Athletic),29,241,865,1106,38.14
60,Baylor (Big 12),31,396,785,1181,38.1
61,Radford (Big South),32,396,823,1219,38.09
62,Norfolk St. (Mid-Eastern),31,325,855,1180,38.06
62,East Carolina (AAC),31,347,833,1180,38.06
64,Southern U. (Southwestern),32,391,827,1218,38.06
65,Northern Ariz. (Big Sky),32,382,835,1217,38.03
66,Xavier (Big East),32,398,818,1216,38
67,Purdue (Big Ten),31,305,872,1177,37.97
67,Tennessee (Southeastern),31,382,795,1177,37.97
69,Army West Point (Patriot),32,317,896,1213,37.91
70,Northern Ill. (Mid-American),32,401,810,1211,37.84
71,Oklahoma (Big 12),31,361,812,1173,37.84
72,UT Martin (OVC),33,436,811,1247,37.79
73,Elon (Colonial),32,291,918,1209,37.78
74,Siena (Metro Atlantic),34,430,854,1284,37.76
75,Colorado (Pac-12),32,379,829,1208,37.75
76,Ball St. (Mid-American),31,314,856,1170,37.74
76,Fort Wayne (Summit League),31,322,848,1170,37.74
78,Toledo (Mid-American),32,327,880,1207,37.72
79,Sam Houston St. (Southland),32,373,833,1206,37.69
80,Wisconsin (Big Ten),31,385,783,1168,37.68
81,Murray St. (OVC),33,399,844,1243,37.67
81,FGCU (ASUN),33,372,871,1243,37.67
83,UNLV (Mountain West),32,365,840,1205,37.66
