Rank,Team,GM,W-L,TO,TOPG
1,Michigan (Big Ten),31,20-11,293,9.5
2,Virginia (Atlantic Coast),31,22-9,295,9.5
3,Notre Dame (Atlantic Coast),31,23-8,298,9.6
4,Houston (AAC),30,21-9,300,10
5,Princeton (Ivy League),27,21-6,273,10.1
6,Butler (Big East),30,23-7,304,10.1
7,Iowa St. (Big 12),30,20-10,305,10.2
8,Stony Brook (America East),31,18-13,318,10.3
9,Northwestern (Big Ten),31,21-10,319,10.3
10,Cincinnati (AAC),31,27-4,320,10.3
11,Santa Clara (West Coast),33,17-16,341,10.3
12,Col. of Charleston (Colonial),34,25-9,353,10.4
13,UNCW (Colonial),34,29-5,354,10.4
14,Liberty (Big South),32,19-13,336,10.5
15,St. Mary's (CA) (West Coast),32,28-4,337,10.5
15,Arizona St. (Pac-12),32,15-17,337,10.5
17,Middle Tenn. (Conference USA),31,27-4,327,10.5
18,Cal Poly (Big West),30,11-19,318,10.6
19,Hofstra (Colonial),32,15-17,341,10.7
20,SMU (AAC),31,27-4,333,10.7
21,Clemson (Atlantic Coast),32,17-15,344,10.8
22,Montana (Big Sky),31,16-15,336,10.8
23,Holy Cross (Patriot),32,15-17,351,11
24,Wisconsin (Big Ten),31,23-8,342,11
25,Saint Peter's (Metro Atlantic),32,19-13,354,11.1
25,Texas Tech (Big 12),32,18-14,354,11.1
27,Texas Southern (Southwestern),32,21-11,356,11.1
28,Wichita St. (Missouri Valley),34,30-4,379,11.1
29,Nevada (Mountain West),31,25-6,346,11.2
29,Colorado St. (Mountain West),31,21-10,346,11.2
31,Villanova (Big East),31,28-3,347,11.2
32,Old Dominion (Conference USA),30,19-11,337,11.2
33,Louisville (Atlantic Coast),31,24-7,349,11.3
34,Rhode Island (Atlantic 10),30,21-9,338,11.3
35,Gonzaga (West Coast),33,32-1,373,11.3
36,Central Mich. (Mid-American),32,16-16,362,11.3
36,Stetson (ASUN),32,11-21,362,11.3
38,Southern California (Pac-12),31,23-8,352,11.4
39,Duke (Atlantic Coast),32,24-8,364,11.4
40,UNI (Missouri Valley),30,14-16,342,11.4
41,UCLA (Pac-12),31,28-3,354,11.4
41,Arizona (Pac-12),31,27-4,354,11.4
43,Temple (AAC),31,16-15,355,11.5
44,Vermont (America East),33,28-5,378,11.5
45,Texas St. (Sun Belt),30,18-12,344,11.5
46,Mercer (Southern),32,15-17,367,11.5
47,Weber St. (Big Sky),29,17-12,333,11.5
48,UNC Asheville (Big South),32,23-9,369,11.5
49,Memphis (AAC),31,19-12,358,11.5
49,Charleston So. (Big South),31,12-19,358,11.5
51,Fla. Atlantic (Conference USA),30,10-20,348,11.6
51,North Dakota St. (Summit League),30,19-11,348,11.6
53,Akron (Mid-American),31,24-7,361,11.6
54,UMBC (America East),30,18-12,350,11.7
55,Florida St. (Atlantic Coast),31,24-7,362,11.7
56,Elon (Colonial),32,18-14,374,11.7
57,Pacific (West Coast),33,11-22,386,11.7
58,Arkansas (Southeastern),31,23-8,363,11.7
59,Minnesota (Big Ten),31,23-8,365,11.8
60,Loyola Chicago (Missouri Valley),32,18-14,377,11.8
61,Evansville (Missouri Valley),33,16-17,389,11.8
62,Sacramento St. (Big Sky),30,13-17,354,11.8
63,San Diego St. (Mountain West),31,18-13,366,11.8
64,Wake Forest (Atlantic Coast),32,19-13,378,11.8
65,South Dakota (Summit League),33,22-11,390,11.8
66,Richmond (Atlantic 10),30,19-11,357,11.9
67,Florida (Southeastern),31,24-7,369,11.9
68,Youngstown St. (Horizon),34,13-21,406,11.9
69,Kentucky (Southeastern),31,26-5,371,12
69,Saint Joseph's (Atlantic 10),31,11-20,371,12
69,Ga. Southern (Sun Belt),31,18-13,371,12
69,Oregon (Pac-12),31,27-4,371,12
73,Albany (NY) (America East),33,21-12,395,12
74,Milwaukee (Horizon),35,11-24,419,12
75,Oral Roberts (Summit League),30,8-22,360,12
75,North Carolina (Atlantic Coast),32,26-6,384,12
75,Pittsburgh (Atlantic Coast),33,16-17,396,12
75,Delaware (Colonial),33,13-20,396,12
79,Air Force (Mountain West),32,12-20,385,12
80,Virginia Tech (Atlantic Coast),31,22-9,373,12
81,Portland St. (Big Sky),30,15-15,361,12
82,Southern Ill. (Missouri Valley),33,17-16,398,12.1
83,Eastern Mich. (Mid-American),32,16-16,386,12.1
84,Iona (Metro Atlantic),34,22-12,411,12.1
85,Missouri (Southeastern),31,8-23,375,12.1
86,Western Ky. (Conference USA),32,15-17,388,12.1
86,Syracuse (Atlantic Coast),32,18-14,388,12.1
88,Dayton (Atlantic 10),30,24-6,364,12.1
88,UConn (AAC),30,14-16,364,12.1
90,Davidson (Atlantic 10),29,15-14,353,12.2
91,UC Santa Barbara (Big West),28,6-22,341,12.2
